feature,importance
total_transaction_count,0.20986780266114471
l1_tau_days,0.07194229510820625
days_since_last_txn,0.046458961111106915
spend_6m,0.04292243357795301
spend,0.04067424387151855
avg_txn_amt_1m,0.036203601847001214
unique_items,0.035973789696528105
avg_days_between_txn_3m,0.035217002546432036
months_since_last_txn,0.03432015384631216
total_lifetime_spend,0.029407936892646907
spend_1m,0.029162714850169056
l1_tau_is_personal,0.028884079006650305
txn_count_6m,0.02833743625290369
total_discount_amount,0.027418250298111235
avg_discount_pct_lifetime,0.0269784498170448
txn_volatility_3m,0.02661074663974723
avg_txn_amt_3m,0.02379754803661708
quantity,0.02194663348571403
avg_txn_amt_6m,0.021571745492141036
txn_count_1m,0.020814419643222247
product_variety_per_txn,0.01986048299539215
spend_volatility_3m,0.019531107289826037
txn_count_3m,0.018889290559174
spend_trend_ratio_3m,0.017608492859174752
txn_count,0.01722303481467815
avg_discount_amt_3m,0.016939660389938178
avg_basket_value,0.015008253635184947
spend_3m,0.012746501179635335
unique_store_count,0.01207077621635435
tenure_months,0.011612155379471488
